Melody ID,Year,BPM,Tonic,Mode,Length (seconds),Length (notes),Onset Density,Contour Score,Tonality,Melody Range,nPVI,STM IC,Syncopation Score,Pitch STD
201001_2,2010,120,D,Minor,30.25,60,1.9834710743801651,2.4237288135593222,0.6846363332329868,7,32.76836158192092,2.337987,1.2429354,2.1717248649147267
201002_1,2010,108,E,Major,30.000024000000003,45,1.49999880000096,2.2045454545454546,0.8450288649037283,12,43.00865800865799,2.6711235,2.1147428,2.6540442003259765
201002_2,2010,108,E,Major,28.888912,53,1.834613916924251,2.9423076923076925,0.8371508086649576,12,38.95040856579318,3.7533917,2.2374666,3.705998524325091
201003_1,2010,97,C#,Minor,17.4,31,1.781609195402299,2.2666666666666666,0.7355881824835576,10,34.29629629629628,4.6669464,2.534054,2.7523521300260048
201003_2,2010,97,C#,Minor,19.35,44,2.27390180878553,2.255813953488372,0.7534502315231251,10,37.05426356589149,3.5483904,2.1945262,2.613932789514523
201003_3,2010,97,C#,Minor,18.6,61,3.2795698924731185,1.7333333333333334,0.6901048976391259,10,37.333333333333336,3.3536625,2.3288777,2.4436679467821745
201004_1,2010,125,C,Major,13.44,25,1.860119047619048,2.125,0.6234121519980313,7,22.222222222222225,3.4294162,2.6472344,2.2464193731358355
201004_2,2010,125,C,Major,15.36,38,2.473958333333333,2.5135135135135136,0.8357723817299937,9,23.78378378378379,3.509842,1.9169843,2.767165014245894
201004_3,2010,125,C,Major,30.72,82,2.669270833333333,2.074074074074074,0.8822634461143019,12,28.806584362139915,2.085519,1.3740133,3.143787959845
201005_1,2010,130,E,Minor,31.384516,61,1.943633605820144,2.216666666666667,0.9132868371288608,12,36.44444444444444,2.9220545,2.033664,3.423051314396902
201005_2,2010,130,E,Minor,31.384516,98,3.122558907711051,1.597938144329897,0.641132133667127,9,7.285223367697595,5.807352,1.2196791,2.0965104582673377
201005_3,2010,130,E,Minor,13.6153415,24,1.7627174463453597,2.6956521739130435,0.6327572082190165,12,52.46376811594202,4.5118566,2.5220845,2.95774642065355
201005_4,2010,130,E,Minor,29.076831,95,3.26720611334846,1.319148936170213,0.6484101709114813,10,7.882472137791287,1.9690078,1.2235168,2.7813386840416
201101_1,2011,105,Ab,Major,17.714268,50,2.822583467744758,2.061224489795918,0.8954197154752424,10,39.71817298347912,2.8770862,2.5089755,2.994929047573581
201101_2,2011,105,Ab,Major,16.857126,45,2.6694941949179234,1.9772727272727275,0.64229073766833,7,33.63636363636362,2.4641356,1.5945162,2.227105745132009
201101_3,2011,105,Ab,Major,19.142838,38,1.985076611942284,1.945945945945946,0.6321249573858064,11,38.91891891891891,3.5666356,1.7196362,2.300186671938122
201101_4,2011,105,Ab,Major,14.285700000000002,32,2.2400022400022395,1.5806451612903225,0.7436255315190599,9,62.26318484382999,3.505007,2.3996997,2.3349836054028303
201102_1,2011,130,F,Minor,14.769184,35,2.3697991710307083,3.0588235294117645,0.7598523774654096,12,45.098039215686256,3.3754072,1.7686067,4.47213595499958
201102_2,2011,130,F,Minor,14.0768785,55,3.907116197671238,1.9444444444444444,0.7658571040136478,7,9.62962962962963,1.7466508,1.5484346,2.3470748455425348
201102_3,2011,130,F,Minor,14.5384155,60,4.12699719580858,2.101694915254237,0.7446558668180167,19,7.90960451977401,1.3534056,1.068219,6.454627969311805
201102_4,2011,130,F,Minor,36.92296,111,3.0062595198218123,1.309090909090909,0.4817868502617213,2,13.33333333333333,1.2679561,1.209652,0.9989849568020979
